Year,Model,Recall_%,Halluc_Rate_%,ROUGE_L_%,BLEU_%,BERTScore_F1_%,Latency_s
2023-2024,gpt2,6.67,0.0,1.45,0.05,83.52,9.96
2023-2024,deepseek-chat,32.0,0.0,33.05,15.75,79.3,15.04
2023-2024,deepseek-reasoner,26.67,13.04,39.14,16.7,78.91,21.92
2021-2022,gpt2,0.0,0.0,2.71,0.08,80.67,10.45
2021-2022,deepseek-chat,26.87,5.26,41.82,15.01,79.65,13.1
2021-2022,deepseek-reasoner,34.33,4.17,33.07,11.48,79.4,17.86
2025-2026,gpt2,0.0,0.0,0.0,0.0,69.18,10.21
2025-2026,deepseek-chat,22.97,0.0,27.84,10.59,80.78,12.82
2025-2026,deepseek-reasoner,17.57,0.0,31.51,10.84,80.82,18.95
2022-2023,gpt2,5.56,0.0,1.44,0.04,79.98,10.19
2022-2023,deepseek-chat,30.56,4.35,35.18,12.38,80.09,14.74
2022-2023,deepseek-reasoner,36.11,13.33,36.84,13.49,79.34,37.01
2024-2025,gpt2,6.67,0.0,1.94,0.05,81.4,10.22
2024-2025,deepseek-chat,24.0,0.0,32.95,9.65,79.41,14.55
2024-2025,deepseek-reasoner,38.67,6.45,34.58,13.27,79.1,38.67
